Communication_number,Social_unit,Part_exchange,Gesture_start_time,Duration_analysis_include,Mau_end_time,Outcome_time,Outcome,Sgn_ID,Rcp_ID,Signaller_age,Recipient_age,Goal_anon
330243b,Kanyawara,2_2,662.311,Include,662.589,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,667.533,Include,668.086,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,658.844,Include,659.829,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,664.23,Include,664.466,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,663.993,Include,664.23,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,659.98,Include,660.613,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,660.333,Include,660.682,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,663.124,Include,663.918,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
330243b,Kanyawara,2_2,666.071,Include,666.384,668.472,GoalRecipient,ID_137,ID_162,6,14,Goal_5
310007b,Kalinzu,2_2,296.544,Include,297.543,300.533,GoalRecipient,ID_139,ID_230,21,3,Goal_5
300368,Waibira,Unclear,1.654,Include,2.893,3.813,TimeExcludeAmbiguous,ID_140,ID_5,14,19,Goal_8
300468,Waibira,1_1,18.763,ExcludeEnd,19.82,18.763,Exclude,ID_140,ID_5,14,19,Goal_1
300513,Waibira,1_1,6.048,Include,6.444,6.048,Exclude,ID_140,ID_21,15,26,Goal_3
300555b,Waibira,2_2,43.773,Include,46.742,45.999,GoalRecipient,ID_140,ID_51,15,25,Goal_8
300553,Waibira,Unclear,22.944,Include,24.46,29.019,GoalRecipient,ID_140,ID_51,15,25,Goal_7
300544a,Waibira,1_2,14.06,Include,15.578,18.02,GoalRecipient,ID_140,ID_51,15,25,Goal_7
300555b,Waibira,2_2,45.694,ExcludeStart,47.474,45.999,GoalRecipient,ID_140,ID_51,15,25,Goal_8
300553,Waibira,Unclear,26.145,Include,28.218,29.019,GoalRecipient,ID_140,ID_51,15,25,Goal_7
300259,Waibira,Unclear,18.073,Include,18.932,21.05,Exclude,ID_140,J,17,NA,Goal_5
300126,Waibira,1_1,26.152,Include,26.749,29.906,Exclude,ID_140,ID_88,17,6,Goal_3
300184,Waibira,1_1,44.686,ExcludeStart,45.188,45.188,TimeExcludeSignaller,ID_140,ID_123,17,24,Goal_14
300150a,Waibira,1_2,57.788,ExcludeEnd,58.28,59.674,OtherSignaller,ID_140,ID_161,17,24,Goal_5
300588b,Waibira,Unclear,439.534,ExcludeEnd,440.342,439.534,Exclude,ID_140,ID_175,16,6,Goal_27
300260a,Waibira,1_2,44.448,Include,45.46,49.151,TimeExcludeRecipient,ID_140,ID_233,17,38,Goal_14
300481b,Waibira,2_2,2.147,Include,4.307,5.189,GoalRecipient,ID_141,ID_1,33,20,Goal_7
300482b,Waibira,2_2,3.942,ExcludeEnd,5.08,4.984,TimeExcludeAmbiguous,ID_141,ID_1,33,20,Goal_8
300406b,Waibira,2_2,5.728,ExcludeEnd,6.728,6.688,TimeExcludeRecipient,ID_141,ID_14,33,22,Goal_15
300480,Waibira,1_1,7.36,Include,9.456,4.783,Exclude,ID_141,ID_217,33,41,Goal_33
300480,Waibira,1_1,4.783,Include,5.303,4.783,Exclude,ID_141,ID_217,33,41,Goal_33
320138,Issa,1_1,3.042,ExcludeEnd,5.082,5.242,TimeExcludeRecipient,ID_142,ID_33,13,14,Goal_11
320238a,Issa,1_2,41.746,Include,43.341,46.088,TimeExcludeAmbiguous,ID_142,ID_38,11,12,NA
320243a,Issa,1_2,17.44,ExcludeEnd,18.448,18.009,TimeExcludeRecipient,ID_142,ID_64,11,24,Goal_12
